region,month,year,avg_width,avg_height
BANER,MAY,2011,8192.0,4320.0
BANER,NOV,2011,8192.0,4320.0
BANER,MAY,2012,8192.0,4320.0
BANER,JAN,2013,8192.0,4320.0
BANER,MAR,2013,8192.0,4320.0
KOTHRUD,FEB,2014,8192.0,4320.0
BANER,FEB,2014,8192.0,4320.0
KOTHRUD,JAN,2014,8192.0,4320.0
BANER,JAN,2014,8192.0,4320.0
KOTHRUD,MAY,2014,8192.0,4320.0
KOTHRUD,NOV,2014,8192.0,4320.0
BANER,NOV,2014,8192.0,4320.0
KOTHRUD,APR,2015,8192.0,4320.0
KOTHRUD,DEC,2015,8192.0,4320.0
BANER,DEC,2015,8192.0,4320.0
KOTHRUD,JAN,2015,8192.0,4320.0
BANER,JAN,2015,8192.0,4320.0
KOTHRUD,OCT,2015,8192.0,4320.0
BANER,OCT,2015,8192.0,4320.0
KOTHRUD,DEC,2016,8192.0,4320.0
BANER,DEC,2016,8192.0,4320.0
KOTHRUD,JAN,2016,8192.0,4320.0
BANER,JAN,2016,8192.0,4320.0
KOTHRUD,NOV,2016,8192.0,4320.0
KOTHRUD,OCT,2016,8192.0,4320.0
BANER,OCT,2016,8192.0,4320.0
KOTHRUD,DEC,2017,8192.0,4320.0
KOTHRUD,FEB,2017,8192.0,4320.0
BANER,FEB,2017,8192.0,4320.0
BANER,JAN,2017,8192.0,4320.0
KOTHRUD,NOV,2017,8192.0,4320.0
BANER,NOV,2017,8192.0,4320.0
BANER,OCT,2017,8192.0,4320.0
BANER,SEP,2017,8192.0,4320.0
KOTHRUD,APR,2018,8192.0,4320.0
BANER,APR,2018,8192.0,4320.0
KOTHRUD,DEC,2018,8192.0,4320.0
BANER,DEC,2018,8192.0,4320.0
KOTHRUD,FEB,2018,8192.0,4320.0
BANER,FEB,2018,8192.0,4320.0
KOTHRUD,JAN,2018,8192.0,4320.0
KOTHRUD,NOV,2018,8192.0,4320.0
BANER,NOV,2018,8192.0,4320.0
KOTHRUD,OCT,2018,8192.0,4320.0
BANER,OCT,2018,8192.0,4320.0
KOTHRUD,APR,2019,8192.0,4320.0
KOTHRUD,DEC,2019,8192.0,4320.0
KOTHRUD,FEB,2019,8192.0,4320.0
BANER,FEB,2019,8192.0,4320.0
KOTHRUD,JAN,2019,8192.0,4320.0
BANER,JAN,2019,8192.0,4320.0
KOTHRUD,MAR,2019,8192.0,4320.0
BANER,MAR,2019,8192.0,4320.0
KOTHRUD,MAY,2019,8192.0,4320.0
BANER,MAY,2019,8192.0,4320.0
KOTHRUD,NOV,2019,8192.0,4320.0
BANER,NOV,2019,8192.0,4320.0
BANER,APR,2020,8192.0,4320.0
KOTHRUD,DEC,2020,8192.0,4320.0
BANER,DEC,2020,8192.0,4320.0
KOTHRUD,FEB,2020,8192.0,4320.0
BANER,JAN,2020,8192.0,4320.0
KOTHRUD,MAY,2020,8192.0,4320.0
BANER,MAY,2020,8192.0,4320.0
KOTHRUD,NOV,2020,8192.0,4320.0
KOTHRUD,OCT,2020,8192.0,4320.0
BANER,OCT,2020,8192.0,4320.0
KOTHRUD,DEC,2021,8192.0,4320.0
BANER,DEC,2021,8192.0,4320.0
KOTHRUD,JAN,2021,8192.0,4320.0
KOTHRUD,MAY,2021,8192.0,4320.0
BANER,NOV,2021,8192.0,4320.0
KOTHRUD,OCT,2021,8192.0,4320.0
BANER,OCT,2021,8192.0,4320.0
KOTHRUD,APR,2022,8192.0,4320.0
KOTHRUD,FEB,2022,8192.0,4320.0
KOTHRUD,JAN,2022,8192.0,4320.0
KOTHRUD,MAY,2022,8192.0,4320.0
KOTHRUD,NOV,2022,8192.0,4320.0
KOTHRUD,OCT,2022,8192.0,4320.0
KOTHRUD,MAY,2023,8192.0,4320.0
BANER,MAY,2023,8192.0,4320.0
BANER,NOV,2023,8192.0,4320.0
KOTHRUD,OCT,2023,8192.0,4320.0
BANER,OCT,2023,8192.0,4320.0
KOTHRUD,APR,2024,8192.0,4320.0
BANER,APR,2024,8192.0,4320.0
KOTHRUD,FEB,2024,8192.0,4320.0
